threshold,num_trades,total_return_pct,sharpe_ratio,max_drawdown_pct
0.2,12,-3.6733105669439103,-41.29272251248851,-4.5697992171057455
0.21000000000000002,12,-3.6733105669439103,-41.29272251248851,-4.5697992171057455
0.22000000000000003,12,-3.6733105669439103,-41.29272251248851,-4.5697992171057455
0.23000000000000004,12,-3.6733105669439103,-41.29272251248851,-4.5697992171057455
0.24000000000000005,12,-3.6733105669439103,-41.29272251248851,-4.5697992171057455
0.25000000000000006,12,-3.6733105669439103,-41.29272251248851,-4.5697992171057455
0.26000000000000006,9,-3.4925524461402513,-61.180992713107756,-3.4925524461402526
0.2700000000000001,0,0.0,0.0,0.0
0.2800000000000001,0,0.0,0.0,0.0
0.2900000000000001,0,0.0,0.0,0.0
0.3000000000000001,0,0.0,0.0,0.0
0.3100000000000001,0,0.0,0.0,0.0
0.3200000000000001,0,0.0,0.0,0.0
0.3300000000000001,0,0.0,0.0,0.0
0.34000000000000014,0,0.0,0.0,0.0
0.35000000000000014,0,0.0,0.0,0.0
